;set_id;ver_id;qry_text;qry_base;qry_type;qry_expansion;qry_rank
3380;58;0;plaisir d'amour piano;TITLE;UNIV;piano;6
3430;58;0;plaisir d'amour band of brothers;TITLE;INDIV;band of brothers;7
3480;58;0;rina ketty plaisir d'amour instrumental;ARTIST_TITLE;UNIV;instrumental;7
3530;58;0;plaisir d'amour instrumental;TITLE;UNIV;instrumental;7
3580;58;0;plaisir d'amour karaoke;TITLE;INDIV;karaoke;8
3630;58;0;rina ketty plaisir d'amour guitar;ARTIST_TITLE;UNIV;guitar;8
3680;58;0;plaisir d'amour guitar;TITLE;UNIV;guitar;8
3730;58;0;plaisir d'amour baritone;TITLE;INDIV;baritone;9
3780;58;0;rina ketty plaisir d'amour guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
3827;58;0;plaisir d'amour guitar lesson;TITLE;UNIV;guitar lesson;9
3877;58;0;plaisir d'amour guitar;TITLE;INDIV;guitar;10
3927;58;0;rina ketty plaisir d'amour hq;ARTIST_TITLE;UNIV;hq;10
3977;58;0;plaisir d'amour hq;TITLE;UNIV;hq;10
4027;58;0;plaisir d'amour martini piano;TITLE;INDIV;martini piano;11
4077;58;0;rina ketty plaisir d'amour text;ARTIST_TITLE;UNIV;text;11
4127;58;0;plaisir d'amour text;TITLE;UNIV;text;11
4177;58;0;plaisir d'amour pronunciation;TITLE;INDIV;pronunciation;12
4227;58;0;rina ketty plaisir d'amour remastered;ARTIST_TITLE;UNIV;remastered;12
4277;58;0;plaisir d'amour remastered;TITLE;UNIV;remastered;12
4327;58;0;rina ketty plaisir d'amour chords;ARTIST_TITLE;UNIV;chords;13
4377;58;0;plaisir d'amour chords;TITLE;UNIV;chords;13
4427;58;0;rina ketty plaisir d'amour full album;ARTIST_TITLE;UNIV;full album;14
4477;58;0;plaisir d'amour full album;TITLE;UNIV;full album;14
4527;63;0;leo reisman and his orchestra yesterdays;ARTIST_TITLE;BASE;;0
4577;63;0;yesterdays;TITLE;BASE;;0
4627;63;0;yesterdays yesterday's;TITLE;INDIV;yesterday's;0
4677;63;0;leo reisman and his orchestra yesterdays lyrics;ARTIST_TITLE;UNIV;lyrics;0
4727;63;0;yesterdays lyrics;TITLE;UNIV;lyrics;0
4777;63;0;yesterdays yesterday's wine;TITLE;INDIV;yesterday's wine;1
4827;63;0;leo reisman and his orchestra yesterdays live;ARTIST_TITLE;UNIV;live;1
4877;63;0;yesterdays live;TITLE;UNIV;live;1
4927;63;0;yesterdays yesterday's news;TITLE;INDIV;yesterday's news;2
4977;63;0;leo reisman and his orchestra yesterdays cover;ARTIST_TITLE;UNIV;cover;2
5027;63;0;yesterdays cover;TITLE;UNIV;cover;2
5077;63;0;yesterdays yesterday's gone;TITLE;INDIV;yesterday's gone;3
5127;63;0;leo reisman and his orchestra yesterdays karaoke;ARTIST_TITLE;UNIV;karaoke;3
5177;63;0;yesterdays karaoke;TITLE;UNIV;karaoke;3
5227;63;0;yesterdays yesterdays new quintet;TITLE;INDIV;new quintet;4
5277;63;0;leo reisman and his orchestra yesterdays reaction;ARTIST_TITLE;UNIV;reaction;4
5308;63;0;yesterdays reaction;TITLE;UNIV;reaction;4
5358;63;0;yesterdays yesterday's burn;TITLE;INDIV;yesterday's burn;5
5408;63;0;leo reisman and his orchestra yesterdays remix;ARTIST_TITLE;UNIV;remix;5
5458;63;0;yesterdays remix;TITLE;UNIV;remix;5
5508;63;0;yesterdays yesterday's papers;TITLE;INDIV;yesterday's papers;6
5558;63;0;leo reisman and his orchestra yesterdays piano;ARTIST_TITLE;UNIV;piano;6
5608;63;0;yesterdays piano;TITLE;UNIV;piano;6
5658;63;0;yesterdays yesterday's children;TITLE;INDIV;yesterday's children;7
5708;63;0;leo reisman and his orchestra yesterdays instrumental;ARTIST_TITLE;UNIV;instrumental;7
5758;63;0;yesterdays instrumental;TITLE;UNIV;instrumental;7
5808;63;0;yesterdays yesterdays rising;TITLE;INDIV;rising;8
5858;63;0;leo reisman and his orchestra yesterdays guitar;ARTIST_TITLE;UNIV;guitar;8
5908;63;0;yesterdays guitar;TITLE;UNIV;guitar;8
5958;63;0;yesterdays yesterdays jerome kern;TITLE;INDIV;jerome kern;9
6008;63;0;leo reisman and his orchestra yesterdays guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
6058;63;0;yesterdays guitar lesson;TITLE;UNIV;guitar lesson;9
6108;63;0;yesterdays yesterday's lie;TITLE;INDIV;yesterday's lie;10
6158;63;0;leo reisman and his orchestra yesterdays hq;ARTIST_TITLE;UNIV;hq;10
6208;63;0;yesterdays hq;TITLE;UNIV;hq;10
6258;63;0;yesterdays yesterdays jazz;TITLE;INDIV;jazz;11
6308;63;0;leo reisman and his orchestra yesterdays text;ARTIST_TITLE;UNIV;text;11
6358;63;0;yesterdays text;TITLE;UNIV;text;11
6408;63;0;yesterdays yesterday's price;TITLE;INDIV;yesterday's price;12
6458;63;0;leo reisman and his orchestra yesterdays remastered;ARTIST_TITLE;UNIV;remastered;12
6508;63;0;yesterdays remastered;TITLE;UNIV;remastered;12
6558;63;0;leo reisman and his orchestra yesterdays chords;ARTIST_TITLE;UNIV;chords;13
6608;63;0;yesterdays chords;TITLE;UNIV;chords;13
6658;63;0;leo reisman and his orchestra yesterdays full album;ARTIST_TITLE;UNIV;full album;14
6708;63;0;yesterdays full album;TITLE;UNIV;full album;14
6758;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema;ARTIST_TITLE;BASE;;0
6808;81;0;garota de ipanema;TITLE;BASE;;0
6858;81;0;garota de ipanema garota de ipanema lyrics;TITLE;INDIV;lyrics;0
6908;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema lyrics;ARTIST_TITLE;UNIV;lyrics;0
6958;81;0;garota de ipanema lyrics;TITLE;UNIV;lyrics;0
7008;81;0;garota de ipanema garota de ipanema bossa nova;TITLE;INDIV;bossa nova;1
7058;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema live;ARTIST_TITLE;UNIV;live;1
7108;81;0;garota de ipanema live;TITLE;UNIV;live;1
7158;81;0;garota de ipanema garota de ipanema joao gilberto;TITLE;INDIV;joao gilberto;2
7208;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema cover;ARTIST_TITLE;UNIV;cover;2
7258;81;0;garota de ipanema cover;TITLE;UNIV;cover;2
7308;81;0;garota de ipanema garota de ipanema guitar;TITLE;INDIV;guitar;3
7358;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema karaoke;ARTIST_TITLE;UNIV;karaoke;3
7408;81;0;garota de ipanema karaoke;TITLE;UNIV;karaoke;3
7458;81;0;garota de ipanema garota de ipanema caetano veloso;TITLE;INDIV;caetano veloso;4
7508;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema reaction;ARTIST_TITLE;UNIV;reaction;4
7558;81;0;garota de ipanema reaction;TITLE;UNIV;reaction;4
7608;81;0;garota de ipanema garota de ipanema lyrics karaoke;TITLE;INDIV;lyrics karaoke;5
7658;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema remix;ARTIST_TITLE;UNIV;remix;5
7708;81;0;garota de ipanema remix;TITLE;UNIV;remix;5
7758;81;0;garota de ipanema garota de ipanema lisa ono lyrics;TITLE;INDIV;lisa ono lyrics;6
7808;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema piano;ARTIST_TITLE;UNIV;piano;6
7858;81;0;garota de ipanema piano;TITLE;UNIV;piano;6
7908;81;0;garota de ipanema garota de ipanema frank sinatra tom jobim;TITLE;INDIV;frank sinatra tom jobim;7
7958;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema instrumental;ARTIST_TITLE;UNIV;instrumental;7
8008;81;0;garota de ipanema instrumental;TITLE;UNIV;instrumental;7
8058;81;0;garota de ipanema garota de ipanema andrea bocelli;TITLE;INDIV;andrea bocelli;8
8108;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema guitar;ARTIST_TITLE;UNIV;guitar;8
8158;81;0;garota de ipanema guitar;TITLE;UNIV;guitar;8
8208;81;0;garota de ipanema garota de ipanema instrumental bossa nova;TITLE;INDIV;instrumental bossa nova;9
8258;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
8308;81;0;garota de ipanema guitar lesson;TITLE;UNIV;guitar lesson;9
8358;81;0;garota de ipanema garota de ipanema english version;TITLE;INDIV;english version;10
8408;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema hq;ARTIST_TITLE;UNIV;hq;10
8458;81;0;garota de ipanema hq;TITLE;UNIV;hq;10
8508;81;0;garota de ipanema garota de ipanema tom jobim original;TITLE;INDIV;tom jobim original;11
8558;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema text;ARTIST_TITLE;UNIV;text;11
8608;81;0;garota de ipanema text;TITLE;UNIV;text;11
8658;81;0;garota de ipanema garota de ipanema guitar tutorial;TITLE;INDIV;guitar tutorial;12
8708;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema remastered;ARTIST_TITLE;UNIV;remastered;12
8758;81;0;garota de ipanema remastered;TITLE;UNIV;remastered;12
8808;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema chords;ARTIST_TITLE;UNIV;chords;13
8858;81;0;garota de ipanema chords;TITLE;UNIV;chords;13
8908;81;0;joão gilberto, antônio carlos jobim, vinicius de moraes garota de ipanema full album;ARTIST_TITLE;UNIV;full album;14
8958;81;0;garota de ipanema full album;TITLE;UNIV;full album;14
9008;96;0;mary martin, patricia neway my favorite things;ARTIST_TITLE;BASE;;0
9058;96;0;my favorite things;TITLE;BASE;;0
9108;96;0;my favorite things sound of music;TITLE;INDIV;sound of music;0
9158;96;0;mary martin, patricia neway my favorite things lyrics;ARTIST_TITLE;UNIV;lyrics;0
9208;96;0;my favorite things lyrics;TITLE;UNIV;lyrics;0
9258;96;0;my favorite things john coltrane;TITLE;INDIV;john coltrane;1
9308;96;0;mary martin, patricia neway my favorite things live;ARTIST_TITLE;UNIV;live;1
9358;96;0;my favorite things live;TITLE;UNIV;live;1
9408;96;0;my favorite things karaoke;TITLE;INDIV;karaoke;2
9458;96;0;mary martin, patricia neway my favorite things cover;ARTIST_TITLE;UNIV;cover;2
9508;96;0;my favorite things cover;TITLE;UNIV;cover;2
9558;96;0;my favorite things lyrics;TITLE;INDIV;lyrics;3
9608;96;0;mary martin, patricia neway my favorite things karaoke;ARTIST_TITLE;UNIV;karaoke;3
9645;96;0;my favorite things karaoke;TITLE;UNIV;karaoke;3
9695;96;0;my favorite things piano;TITLE;INDIV;piano;4
9745;96;0;mary martin, patricia neway my favorite things reaction;ARTIST_TITLE;UNIV;reaction;4
9755;96;0;my favorite things reaction;TITLE;UNIV;reaction;4
9805;96;0;my favorite things ariana grande;TITLE;INDIV;ariana grande;5
9855;96;0;mary martin, patricia neway my favorite things remix;ARTIST_TITLE;UNIV;remix;5
9867;96;0;my favorite things remix;TITLE;UNIV;remix;5
9917;96;0;my favorite things pentatonix;TITLE;INDIV;pentatonix;6
9967;96;0;mary martin, patricia neway my favorite things piano;ARTIST_TITLE;UNIV;piano;6
10017;96;0;my favorite things piano;TITLE;UNIV;piano;6
10067;96;0;my favorite things jazz;TITLE;INDIV;jazz;7
10117;96;0;mary martin, patricia neway my favorite things instrumental;ARTIST_TITLE;UNIV;instrumental;7
10164;96;0;my favorite things instrumental;TITLE;UNIV;instrumental;7
10214;96;0;my favorite things cover;TITLE;INDIV;cover;8
10264;96;0;mary martin, patricia neway my favorite things guitar;ARTIST_TITLE;UNIV;guitar;8
10297;96;0;my favorite things guitar;TITLE;UNIV;guitar;8
10347;96;0;my favorite things backing track;TITLE;INDIV;backing track;9
10397;96;0;mary martin, patricia neway my favorite things guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
10417;96;0;my favorite things guitar lesson;TITLE;UNIV;guitar lesson;9
10467;96;0;my favorite things instrumental;TITLE;INDIV;instrumental;10
10517;96;0;mary martin, patricia neway my favorite things hq;ARTIST_TITLE;UNIV;hq;10
10557;96;0;my favorite things hq;TITLE;UNIV;hq;10
10607;96;0;my favorite things coltrane;TITLE;INDIV;coltrane;11
10657;96;0;mary martin, patricia neway my favorite things text;ARTIST_TITLE;UNIV;text;11
10667;96;0;my favorite things text;TITLE;UNIV;text;11
10717;96;0;my favorite things song;TITLE;INDIV;song;12
10767;96;0;mary martin, patricia neway my favorite things remastered;ARTIST_TITLE;UNIV;remastered;12
10787;96;0;my favorite things remastered;TITLE;UNIV;remastered;12
10837;96;0;mary martin, patricia neway my favorite things chords;ARTIST_TITLE;UNIV;chords;13
10857;96;0;my favorite things chords;TITLE;UNIV;chords;13
10907;96;0;mary martin, patricia neway my favorite things full album;ARTIST_TITLE;UNIV;full album;14
10952;96;0;my favorite things full album;TITLE;UNIV;full album;14
11002;157;1;the now generation [us] come together;ARTIST_TITLE;BASE;;0
11052;157;1;come together;TITLE;BASE;;0
11102;157;1;the now generation [us] come together the now generation us come together;ARTIST_TITLE;INDIV;the now generation us come together;0
11152;157;1;come together come together;TITLE;INDIV;come together;0
11202;157;1;the now generation [us] come together lyrics;ARTIST_TITLE;UNIV;lyrics;0
11252;157;1;come together lyrics;TITLE;UNIV;lyrics;0
11302;157;1;the now generation [us] come together the now generation us come together chords;ARTIST_TITLE;INDIV;the now generation us come together chords;1
11352;157;1;come together come together michael jackson;TITLE;INDIV;michael jackson;1
11402;157;1;the now generation [us] come together live;ARTIST_TITLE;UNIV;live;1
11452;157;1;come together live;TITLE;UNIV;live;1
11502;157;1;come together come together chris brown;TITLE;INDIV;chris brown;2
11552;157;1;the now generation [us] come together cover;ARTIST_TITLE;UNIV;cover;2
11602;157;1;come together cover;TITLE;UNIV;cover;2
11652;157;1;come together come together gary clark jr;TITLE;INDIV;gary clark jr;3
11702;157;1;the now generation [us] come together karaoke;ARTIST_TITLE;UNIV;karaoke;3
11752;157;1;come together karaoke;TITLE;UNIV;karaoke;3
11802;157;1;come together come together aerosmith;TITLE;INDIV;aerosmith;4
11852;157;1;the now generation [us] come together reaction;ARTIST_TITLE;UNIV;reaction;4
11902;157;1;come together reaction;TITLE;UNIV;reaction;4
11952;157;1;come together come together karaoke;TITLE;INDIV;karaoke;5
12002;157;1;the now generation [us] come together remix;ARTIST_TITLE;UNIV;remix;5
12052;157;1;come together remix;TITLE;UNIV;remix;5
12102;157;1;come together come together godsmack;TITLE;INDIV;godsmack;6
12152;157;1;the now generation [us] come together piano;ARTIST_TITLE;UNIV;piano;6
12202;157;1;come together piano;TITLE;UNIV;piano;6
12252;157;1;come together come together lyrics;TITLE;INDIV;lyrics;7
12302;157;1;the now generation [us] come together instrumental;ARTIST_TITLE;UNIV;instrumental;7
12352;157;1;come together instrumental;TITLE;UNIV;instrumental;7
12402;157;1;come together lyrics;TITLE;INDIV;lyrics;8
12452;157;1;the now generation [us] come together guitar;ARTIST_TITLE;UNIV;guitar;8
12502;157;1;come together guitar;TITLE;UNIV;guitar;8
12552;157;1;come together come together cover;TITLE;INDIV;cover;9
12602;157;1;the now generation [us] come together guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
12652;157;1;come together guitar lesson;TITLE;UNIV;guitar lesson;9
12702;157;1;come together come together justice league;TITLE;INDIV;justice league;10
12752;157;1;the now generation [us] come together hq;ARTIST_TITLE;UNIV;hq;10
12802;157;1;come together hq;TITLE;UNIV;hq;10
12852;157;1;come together come together right now over me;TITLE;INDIV;right now over me;11
12901;157;1;the now generation [us] come together text;ARTIST_TITLE;UNIV;text;11
12951;157;1;come together text;TITLE;UNIV;text;11
13001;157;1;come together come together bass;TITLE;INDIV;bass;12
13051;157;1;the now generation [us] come together remastered;ARTIST_TITLE;UNIV;remastered;12
13101;157;1;come together remastered;TITLE;UNIV;remastered;12
13151;157;1;the now generation [us] come together chords;ARTIST_TITLE;UNIV;chords;13
13201;157;1;come together chords;TITLE;UNIV;chords;13
13251;157;1;the now generation [us] come together full album;ARTIST_TITLE;UNIV;full album;14
13301;157;1;come together full album;TITLE;UNIV;full album;14
13351;214;1;syzygy enjoy the silence;ARTIST_TITLE;BASE;;0
13401;214;1;enjoy the silence;TITLE;BASE;;0
13451;214;1;syzygy enjoy the silence lyrics;ARTIST_TITLE;INDIV;lyrics;0
13501;214;1;enjoy the silence depeche mode;TITLE;INDIV;depeche mode;0
13551;214;1;syzygy enjoy the silence lyrics;ARTIST_TITLE;UNIV;lyrics;0
13601;214;1;enjoy the silence lyrics;TITLE;UNIV;lyrics;0
13651;214;1;syzygy enjoy the silence chords;ARTIST_TITLE;INDIV;chords;1
13680;214;1;enjoy the silence live;TITLE;INDIV;live;1
13730;214;1;syzygy enjoy the silence live;ARTIST_TITLE;UNIV;live;1
13780;214;1;enjoy the silence live;TITLE;UNIV;live;1
13830;214;1;enjoy the silence remix;TITLE;INDIV;remix;2
13880;214;1;syzygy enjoy the silence cover;ARTIST_TITLE;UNIV;cover;2
13930;214;1;enjoy the silence cover;TITLE;UNIV;cover;2
13980;214;1;enjoy the silence lyrics;TITLE;INDIV;lyrics;3
14030;214;1;syzygy enjoy the silence karaoke;ARTIST_TITLE;UNIV;karaoke;3
14050;214;1;enjoy the silence karaoke;TITLE;UNIV;karaoke;3
14100;214;1;enjoy the silence cover;TITLE;INDIV;cover;4
14150;214;1;syzygy enjoy the silence reaction;ARTIST_TITLE;UNIV;reaction;4
14200;214;1;enjoy the silence reaction;TITLE;UNIV;reaction;4
14250;214;1;enjoy the silence lacuna coil;TITLE;INDIV;lacuna coil;5
14300;214;1;syzygy enjoy the silence remix;ARTIST_TITLE;UNIV;remix;5
14350;214;1;enjoy the silence remix;TITLE;UNIV;remix;5
14400;214;1;enjoy the silence anberlin;TITLE;INDIV;anberlin;6
14450;214;1;syzygy enjoy the silence piano;ARTIST_TITLE;UNIV;piano;6
14489;214;1;enjoy the silence piano;TITLE;UNIV;piano;6
14539;214;1;enjoy the silence karaoke;TITLE;INDIV;karaoke;7
14589;214;1;syzygy enjoy the silence instrumental;ARTIST_TITLE;UNIV;instrumental;7
14625;214;1;enjoy the silence instrumental;TITLE;UNIV;instrumental;7
14675;214;1;enjoy the silence slowed;TITLE;INDIV;slowed;8
14725;214;1;syzygy enjoy the silence guitar;ARTIST_TITLE;UNIV;guitar;8
14773;214;1;enjoy the silence guitar;TITLE;UNIV;guitar;8
14823;214;1;enjoy the silence piano;TITLE;INDIV;piano;9
14873;214;1;syzygy enjoy the silence guitar lesson;ARTIST_TITLE;UNIV;guitar lesson;9
14893;214;1;enjoy the silence guitar lesson;TITLE;UNIV;guitar lesson;9
14943;214;1;enjoy the silence depeche mode lyrics;TITLE;INDIV;depeche mode lyrics;10
14993;214;1;syzygy enjoy the silence hq;ARTIST_TITLE;UNIV;hq;10
15036;214;1;enjoy the silence hq;TITLE;UNIV;hq;10
15086;214;1;enjoy the silence reaction;TITLE;INDIV;reaction;11
15136;214;1;syzygy enjoy the silence text;ARTIST_TITLE;UNIV;text;11
15158;214;1;enjoy the silence text;TITLE;UNIV;text;11
15208;214;1;enjoy the silence narcos;TITLE;INDIV;narcos;12
15258;214;1;syzygy enjoy the silence remastered;ARTIST_TITLE;UNIV;remastered;12
15278;214;1;enjoy the silence remastered;TITLE;UNIV;remastered;12
15328;214;1;syzygy enjoy the silence chords;ARTIST_TITLE;UNIV;chords;13
15357;214;1;enjoy the silence chords;TITLE;UNIV;chords;13
15407;214;1;syzygy enjoy the silence full album;ARTIST_TITLE;UNIV;full album;14
15457;214;1;enjoy the silence full album;TITLE;UNIV;full album;14
15507;348;0;chuck berry johnny b. goode;ARTIST_TITLE;BASE;;0
15557;348;0;johnny b. goode;TITLE;BASE;;0
15607;348;0;chuck berry johnny b. goode reaction;ARTIST_TITLE;INDIV;reaction;0
15657;348;0;johnny b. goode chuck berry;TITLE;INDIV;chuck berry;0
15707;348;0;chuck berry johnny b. goode lyrics;ARTIST_TITLE;UNIV;lyrics;0
15757;348;0;johnny b. goode lyrics;TITLE;UNIV;lyrics;0
15807;348;0;chuck berry johnny b. goode live;ARTIST_TITLE;INDIV;live;1
15857;348;0;johnny b. goode back to the future;TITLE;INDIV;back to the future;1
15907;348;0;chuck berry johnny b. goode live;ARTIST_TITLE;UNIV;live;1
15957;348;0;johnny b. goode live;TITLE;UNIV;live;1
16007;348;0;chuck berry johnny b. goode year;ARTIST_TITLE;INDIV;year;2
16057;348;0;johnny b. goode cover;TITLE;INDIV;cover;2
16107;348;0;chuck berry johnny b. goode cover;ARTIST_TITLE;UNIV;cover;2
16157;348;0;johnny b. goode cover;TITLE;UNIV;cover;2
16207;348;0;chuck berry johnny b. goode lyrics;ARTIST_TITLE;INDIV;lyrics;3
16257;348;0;johnny b. goode lyrics;TITLE;INDIV;lyrics;3
16307;348;0;chuck berry johnny b. goode karaoke;ARTIST_TITLE;UNIV;karaoke;3
16357;348;0;johnny b. goode karaoke;TITLE;UNIV;karaoke;3
16407;348;0;chuck berry johnny b. goode chords;ARTIST_TITLE;INDIV;chords;4
16457;348;0;johnny b. goode guitar lesson;TITLE;INDIV;guitar lesson;4
16507;348;0;chuck berry johnny b. goode reaction;ARTIST_TITLE;UNIV;reaction;4
16557;348;0;johnny b. goode reaction;TITLE;UNIV;reaction;4
16607;348;0;chuck berry johnny b. goode other recordings;ARTIST_TITLE;INDIV;other recordings;5
16657;348;0;johnny b. goode live;TITLE;INDIV;live;5
16707;348;0;chuck berry johnny b. goode remix;ARTIST_TITLE;UNIV;remix;5
16757;348;0;johnny b. goode remix;TITLE;UNIV;remix;5
16807;348;0;chuck berry johnny b. goode meaning;ARTIST_TITLE;INDIV;meaning;6
16857;348;0;johnny b. goode karaoke;TITLE;INDIV;karaoke;6
16907;348;0;chuck berry johnny b. goode piano;ARTIST_TITLE;UNIV;piano;6
16957;348;0;johnny b. goode piano;TITLE;UNIV;piano;6
17007;348;0;chuck berry johnny b. goode videos;ARTIST_TITLE;INDIV;videos;7
17057;348;0;johnny b. goode guitar;TITLE;INDIV;guitar;7
17107;348;0;chuck berry johnny b. goode instrumental;ARTIST_TITLE;UNIV;instrumental;7
17157;348;0;johnny b. goode instrumental;TITLE;UNIV;instrumental;7
17207;348;0;chuck berry johnny b. goode album;ARTIST_TITLE;INDIV;album;8
17257;348;0;johnny b. goode jimi hendrix;TITLE;INDIV;jimi hendrix;8
17307;348;0;chuck berry johnny b. goode guitar;ARTIST_TITLE;UNIV;guitar;8
17357;348;0;johnny b. goode guitar;TITLE;UNIV;guitar;8
